,id,full_text,entities,created_at,favourite,retweets,language,geo,in_reply
0,1313663334286323714,Please. https://t.co/acHR1Rf8hE,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313663231093866496, 'id_str': '1313663231093866496', 'indices': [8, 31], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjsRv6PXgAAw25T.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjsRv6PXgAAw25T.jpg', 'url': 'https://t.co/acHR1Rf8hE', 'display_url': 'pic.twitter.com/acHR1Rf8hE', 'expanded_url': 'https://twitter.com/JoeBiden/status/1313663334286323714/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",2020-10-07 02:12:00,90289,14867,en,,
1,1313652765319557122,"I can’t wait for @KamalaHarris to make history at tomorrow night’s debate. Before she takes the stage, don’t miss this event with @MindyKaling, @PadmaLakshmi, @DJCassidy, and more.

RSVP today: https://t.co/wsuSsUPyI5","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [17, 30]}, {'screen_name': 'mindykaling', 'name': 'Mindy Kaling', 'id': 23544596, 'id_str': '23544596', 'indices': [130, 142]}, {'screen_name': 'PadmaLakshmi', 'name': 'Padma Lakshmi', 'id': 57371662, 'id_str': '57371662', 'indices': [144, 157]}, {'screen_name': 'DJCassidy', 'name': 'DJ Cassidy', 'id': 20010462, 'id_str': '20010462', 'indices': [159, 169]}], 'urls': [{'url': 'https://t.co/wsuSsUPyI5', 'expanded_url': 'https://joe.link/2I4a2zX', 'display_url': 'joe.link/2I4a2zX', 'indices': [194, 217]}]}",2020-10-07 01:30:00,13317,2126,en,,
2,1313646473393840128,"Ignore the polls, folks. There’s too much at stake for us to get complacent.

Vote: https://t.co/eoxT07uII9
Donate: https://t.co/AerPVVAHh6
Volunteer: https://t.co/RSMKrK1QZy

Let’s finish these final four weeks strong. https://t.co/Dp0t05dzJZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eoxT07uII9', 'expanded_url': 'http://iwillvote.com', 'display_url': 'iwillvote.com', 'indices': [84, 107]}, {'url': 'https://t.co/AerPVVAHh6', 'expanded_url': 'http://joe.link/30HHgeZ', 'display_url': 'joe.link/30HHgeZ', 'indices': [116, 139]}, {'url': 'https://t.co/RSMKrK1QZy', 'expanded_url': 'http://JoeBiden.com/Take-Action', 'display_url': 'JoeBiden.com/Take-Action', 'indices': [151, 174]}, {'url': 'https://t.co/Dp0t05dzJZ', 'expanded_url': 'https://twitter.com/AllisonLHedges/status/1313419495373975555', 'display_url': 'twitter.com/AllisonLHedges…', 'indices': [220, 243]}]}",2020-10-07 01:05:00,56278,12104,en,,
3,1313641691602202624,"Think about what it takes for a Black person to love America. 

That is a deep love for this country that, for far too long, we have never recognized. https://t.co/vTEY156VTj","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313640748676517888, 'id_str': '1313640748676517888', 'indices': [151, 174], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1313640748676517888/img/O97XvtAiSLFpdd09.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1313640748676517888/img/O97XvtAiSLFpdd09.jpg', 'url': 'https://t.co/vTEY156VTj', 'display_url': 'pic.twitter.com/vTEY156VTj', 'expanded_url': 'https://twitter.com/JoeBiden/status/1313641691602202624/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",2020-10-07 00:46:00,30592,6574,en,,
4,1313633890289045504,"Look, folks, I'm going to be honest: we'll try pretty much anything to get you to vote this election. My team spun up this quiz to match your personality to an easy voting option. Check it out — but more importantly, vote! https://t.co/TH6ShPiapc","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TH6ShPiapc', 'expanded_url': 'https://joebiden.com/votingquiz/', 'display_url': 'joebiden.com/votingquiz/', 'indices': [223, 246]}]}",2020-10-07 00:15:00,13490,3023,en,,
5,1313620049165336576,"Four weeks from today, voters will head to the polls to determine the outcome of the most important election of our lifetime.

We don’t have a minute to waste — and we need your help to win. Chip in: https://t.co/nx01UKHIyn","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nx01UKHIyn', 'expanded_url': 'https://joe.link/2Gv5GkM', 'display_url': 'joe.link/2Gv5GkM', 'indices': [200, 223]}]}",2020-10-06 23:20:00,8414,1793,en,,
6,1313616274476285953,"Climate change is already here, and ignoring science won't make it go away. If we give the Trump Administration another four years, we'll lose irreplaceable time to combat it. https://t.co/cexxSVQLOQ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cexxSVQLOQ', 'expanded_url': 'https://twitter.com/scottpwaldman/status/1313112309091495938', 'display_url': 'twitter.com/scottpwaldman/…', 'indices': [176, 199]}]}",2020-10-06 23:05:00,21209,4541,en,,
7,1313612499263127552,"Make no mistake: if you are out of work, if your business is closed, if your child’s school is shut down, if you are seeing layoffs in your community, Donald Trump decided today that none of that matters to him.","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 22:50:00,231317,58532,en,,
8,1313607969557282816,The President turned his back on you. https://t.co/oeI8dck2LL,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313607318299455489, 'id_str': '1313607318299455489', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/Ejre5W2XsAEslX_.png', 'media_url_https': 'https://pbs.twimg.com/media/Ejre5W2XsAEslX_.png', 'url': 'https://t.co/oeI8dck2LL', 'display_url': 'pic.twitter.com/oeI8dck2LL', 'expanded_url': 'https://twitter.com/JoeBiden/status/1313607969557282816/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1154, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",2020-10-06 22:32:00,135411,40386,en,,
9,1313585320353509381,"I give you my word: If I am elected president, I will marshal the ingenuity and goodwill of this nation to turn division into unity and bring us together.","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 21:02:00,212572,27863,en,,
