,id,full_text,entities,created_at,favourite,retweets,language,geo,in_reply,date,time_of_day,tweet_length,hour,day_or_night,days_to_election
0,1314035056441257985,https://t.co/wHQx2qd8q2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1312403835881754629, 'id_str': '1312403835881754629', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EjaZ7SMXsAAYNDr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjaZ7SMXsAAYNDr.jpg', 'url': 'https://t.co/wHQx2qd8q2', 'display_url': 'pic.twitter.com/wHQx2qd8q2', 'expanded_url': 'https://twitter.com/TeamTrump/status/1312460911400034305/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1312460911400034305, 'source_status_id_str': '1312460911400034305', 'source_user_id': 729676086632656900, 'source_user_id_str': '729676086632656900'}]}",2020-10-08 02:49:05,7856,2700,und,,,2020-10-08 02:49:05,night,1,2,1,26
1,1314033009293656065,"2010 to 2016 under Kamala Harris's watch as ""TOP COP.” https://t.co/L5OKBP4pr8 https://t.co/LXaNlwRXFj","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/L5OKBP4pr8', 'expanded_url': 'https://twitter.com/mike_pence/status/1314029933165867011', 'display_url': 'twitter.com/mike_pence/sta…', 'indices': [55, 78]}], 'media': [{'id': 1314033005284020227, 'id_str': '1314033005284020227', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EjxiDmcX0AMfHy1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjxiDmcX0AMfHy1.jpg', 'url': 'https://t.co/LXaNlwRXFj', 'display_url': 'pic.twitter.com/LXaNlwRXFj', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1314033009293656065/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 800, 'h': 526, 'resize': 'fit'}, 'small': {'w': 680, 'h': 447, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 526, 'resize': 'fit'}}}]}",2020-10-08 02:40:57,22294,8828,en,,,2020-10-08 02:40:57,night,12,1,1,26
2,1314028978806624256,https://t.co/4Wv5cCFEns https://t.co/kMvBv6Pu9I,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kMvBv6Pu9I', 'expanded_url': 'https://twitter.com/mike_pence/status/1314027557625360384', 'display_url': 'twitter.com/mike_pence/sta…', 'indices': [24, 47]}], 'media': [{'id': 1310985993294614528, 'id_str': '1310985993294614528', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1310985993294614528/img/E2IcCUbU2WR7AoOi.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1310985993294614528/img/E2IcCUbU2WR7AoOi.jpg', 'url': 'https://t.co/4Wv5cCFEns', 'display_url': 'pic.twitter.com/4Wv5cCFEns', 'expanded_url': 'https://twitter.com/Mike_Pence/status/1310987981956710401/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1310987981956710401, 'source_status_id_str': '1310987981956710401', 'source_user_id': 22203756, 'source_user_id_str': '22203756'}]}",2020-10-08 02:24:56,18191,5547,und,,,2020-10-08 02:24:56,night,2,1,1,26
3,1314028699084259329,https://t.co/rxqPqR4uqZ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1314024437809774594, 'id_str': '1314024437809774594', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1314024437809774594/pu/img/bXR0Dri8UAE8wkhW.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1314024437809774594/pu/img/bXR0Dri8UAE8wkhW.jpg', 'url': 'https://t.co/rxqPqR4uqZ', 'display_url': 'pic.twitter.com/rxqPqR4uqZ', 'expanded_url': 'https://twitter.com/Mike_Pence/status/1314024485482160129/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1314024485482160129, 'source_status_id_str': '1314024485482160129', 'source_user_id': 22203756, 'source_user_id_str': '22203756'}]}",2020-10-08 02:23:49,37800,9667,und,,,2020-10-08 02:23:49,night,1,0,1,26
4,1314027975185182721,https://t.co/xGevgI2wTO,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313985209532968960, 'id_str': '1313985209532968960', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1313985209532968960/pu/img/i9NI5lQczu1yJ9zq.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1313985209532968960/pu/img/i9NI5lQczu1yJ9zq.jpg', 'url': 'https://t.co/xGevgI2wTO', 'display_url': 'pic.twitter.com/xGevgI2wTO', 'expanded_url': 'https://twitter.com/Mike_Pence/status/1313985293402304513/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1313985293402304513, 'source_status_id_str': '1313985293402304513', 'source_user_id': 22203756, 'source_user_id_str': '22203756'}]}",2020-10-08 02:20:57,24724,7687,und,,,2020-10-08 02:20:57,night,1,0,1,26
5,1314025119497551873,"Moderator cut off @VP Mike Pence while discussing the Knights of Columbus. This is what he was referring to...

“Kamala Harris’s Outrageous Assault on the Knights of Columbus” https://t.co/XgR4kiOANB","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VP', 'name': 'Vice President Mike Pence', 'id': 818910970567344128, 'id_str': '818910970567344128', 'indices': [18, 21]}], 'urls': [{'url': 'https://t.co/XgR4kiOANB', 'expanded_url': 'https://www.nationalreview.com/2019/01/kamala-harris-knights-of-columbus-religious-test/', 'display_url': 'nationalreview.com/2019/01/kamala…', 'indices': [176, 199]}]}",2020-10-08 02:09:36,38926,15984,en,,,2020-10-08 02:09:36,night,29,23,1,26
6,1314024010284498949,"“Biden TAX PLAN would raise $4 TRILLION, more than twice the hike proposed by Clinton in 2016” https://t.co/kF4NmToqh3","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kF4NmToqh3', 'expanded_url': 'https://www.washingtonexaminer.com/news/biden-tax-plan-would-raise-4-trillion-more-than-twice-the-hike-proposed-by-clinton-in-2016', 'display_url': 'washingtonexaminer.com/news/biden-tax…', 'indices': [95, 118]}]}",2020-10-08 02:05:12,25942,9553,en,,,2020-10-08 02:05:12,night,18,23,1,26
7,1314023540753137665,Joe Biden opposed taking out Osama bin Laden...https://t.co/y0dyX27UuB,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1314009991662063616, 'id_str': '1314009991662063616', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1314009991662063616/img/o_WWrstZdcV0p7X3.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1314009991662063616/img/o_WWrstZdcV0p7X3.jpg', 'url': 'https://t.co/y0dyX27UuB', 'display_url': 'pic.twitter.com/y0dyX27UuB', 'expanded_url': 'https://twitter.com/Mike_Pence/status/1314022447688028161/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1314022447688028161, 'source_status_id_str': '1314022447688028161', 'source_user_id': 22203756, 'source_user_id_str': '22203756'}]}",2020-10-08 02:03:20,38942,14435,en,,,2020-10-08 02:03:20,night,8,22,1,26
8,1314021500941369354,Mike Pence is doing GREAT! She is a gaffe machine.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-08 01:55:13,207859,35233,en,,,2020-10-08 01:55:13,night,10,22,1,26
9,1314021239166578688,https://t.co/eTaZo6dA1c,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1305859810500452357, 'id_str': '1305859810500452357', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/Eh9gQlDX0AEnNHh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh9gQlDX0AEnNHh.jpg', 'url': 'https://t.co/eTaZo6dA1c', 'display_url': 'pic.twitter.com/eTaZo6dA1c', 'expanded_url': 'https://twitter.com/TeamTrump/status/1305892127918882816/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'source_status_id': 1305892127918882816, 'source_status_id_str': '1305892127918882816', 'source_user_id': 729676086632656900, 'source_user_id_str': '729676086632656900'}]}",2020-10-08 01:54:11,26252,9190,und,,,2020-10-08 01:54:11,night,1,21,1,26
