,unique_dates,tweets_each_day,days_to_election
0,2020-09-30,62,34
1,2020-10-07,48,27
2,2020-08-25,45,70
3,2020-09-08,44,56
4,2020-08-26,41,69
5,2020-09-18,41,46
6,2020-09-10,40,54
7,2020-09-14,39,50
8,2020-08-27,36,68
9,2020-09-09,33,55
10,2020-08-29,31,66
11,2020-08-30,31,65
12,2020-10-05,29,29
13,2020-09-12,29,52
14,2020-08-28,29,67
15,2020-07-29,27,97
16,2020-09-17,27,47
17,2020-09-23,27,41
18,2020-09-13,26,51
19,2020-09-20,25,44
20,2020-08-14,25,81
21,2020-09-02,24,62
22,2020-08-12,24,83
23,2020-08-02,24,93
24,2020-09-24,23,40
25,2020-09-22,22,42
26,2020-09-06,21,58
27,2020-10-06,21,28
28,2020-10-01,21,33
29,2020-08-20,21,75
30,2020-09-25,21,39
31,2020-09-11,21,53
32,2020-08-10,20,85
33,2020-09-15,20,49
34,2020-09-04,20,60
35,2020-08-13,20,82
36,2020-09-03,20,61
37,2020-08-18,19,77
38,2020-09-01,19,63
39,2020-09-29,18,35
40,2020-09-05,18,59
41,2020-08-15,18,80
42,2020-09-07,17,57
43,2020-08-05,16,90
44,2020-07-26,16,100
45,2020-07-30,15,96
46,2020-07-15,15,111
47,2020-08-17,15,78
48,2020-08-07,15,88
49,2020-08-19,14,76
50,2020-09-27,14,37
51,2020-08-31,14,64
52,2020-10-08,13,26
53,2020-09-16,13,48
54,2020-08-22,13,73
55,2020-08-01,13,94
56,2020-07-31,12,95
57,2020-07-12,12,114
58,2020-08-04,11,91
59,2020-08-24,11,71
60,2020-08-23,11,72
61,2020-08-06,11,89
62,2020-08-11,10,84
63,2020-07-25,10,101
64,2020-08-03,10,92
65,2020-08-21,10,74
66,2020-07-23,10,103
67,2020-09-28,9,36
68,2020-09-21,9,43
69,2020-09-26,9,38
70,2020-07-17,8,109
71,2020-07-24,8,102
72,2020-07-27,8,99
73,2020-07-13,7,113
74,2020-07-21,7,105
75,2020-07-11,5,115
76,2020-07-28,5,98
77,2020-10-04,5,30
78,2020-07-14,4,112
79,2020-10-03,4,31
80,2020-07-19,4,107
81,2020-07-16,4,110
82,2020-08-16,4,79
83,2020-10-02,3,32
84,2020-07-18,3,108
85,2020-08-08,3,87
86,2020-09-19,3,45
87,2020-07-22,2,104
88,2020-07-20,2,106
