,results,full_text,entities,created_at,favourite,retweets
0,1313664886648582144,"If I am sent a Stand Alone Bill for Stimulus Checks ($1,200), they will go out to our great people IMMEDIATELY. I am ready to sign right now. Are you listening Nancy? @MarkMeadows @senatemajldr @kevinomccarthy @SpeakerPelosi @SenSchumer","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarkMeadows', 'name': 'Mark Meadows', 'id': 963480595, 'id_str': '963480595', 'indices': [167, 179]}, {'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [180, 193]}, {'screen_name': 'kevinomccarthy', 'name': 'Kevin McCarthy', 'id': 15428227, 'id_str': '15428227', 'indices': [194, 209]}, {'screen_name': 'SpeakerPelosi', 'name': 'Nancy Pelosi', 'id': 15764644, 'id_str': '15764644', 'indices': [210, 224]}, {'screen_name': 'SenSchumer', 'name': 'Chuck Schumer', 'id': 17494010, 'id_str': '17494010', 'indices': [225, 236]}], 'urls': []}",2020-10-07 02:18:10,156075,48293
1,1313661368856457217,"11,00 North Carolina residents get incorrect voter registration forms. 2000 LA County Voters received “faulty” Ballots, with NO WAY TO VOTE FOR PRESIDENT. Many others throughout USA. Here we go. This will be the most corrupt Election in American History!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-07 02:04:11,73199,24576
2,1313658825040371712,"The House &amp; Senate should IMMEDIATELY Approve 25 Billion Dollars for Airline Payroll Support, &amp; 135 Billion Dollars for Paycheck Protection Program for Small Business. Both of these will be fully paid for with unused funds from the Cares Act. Have this money. I will sign now!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-07 01:54:05,98597,28044
3,1313654133153583104,"Wear your mask in the “beauty” parlor, Nancy! https://t.co/z3JAxwrXTi","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/z3JAxwrXTi', 'expanded_url': 'https://twitter.com/greggjarrett/status/1312357197700104193', 'display_url': 'twitter.com/greggjarrett/s…', 'indices': [46, 69]}]}",2020-10-07 01:35:26,121505,28357
4,1313653514783141889,"So I had to constantly fight off all of this Scum, achieve more than any other President in First Term, and then they talk Chaos. They created crimes against me and this administration! https://t.co/jlITzFMH2E","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jlITzFMH2E', 'expanded_url': 'https://twitter.com/greggjarrett/status/1312363132631822337', 'display_url': 'twitter.com/greggjarrett/s…', 'indices': [186, 209]}]}",2020-10-07 01:32:59,65737,21485
5,1313652590710841347,A Disgraceful Con Artist! Charges anyone? https://t.co/llIZGu2HIu,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/llIZGu2HIu', 'expanded_url': 'https://twitter.com/greggjarrett/status/1312392612201091072', 'display_url': 'twitter.com/greggjarrett/s…', 'indices': [42, 65]}]}",2020-10-07 01:29:18,62720,19981
6,1313652020641959936,Taking too long. Media is in on it. A true scandal! https://t.co/tpm5MhflvM,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tpm5MhflvM', 'expanded_url': 'https://twitter.com/greggjarrett/status/1312408485116751872', 'display_url': 'twitter.com/greggjarrett/s…', 'indices': [52, 75]}]}",2020-10-07 01:27:02,58654,19083
7,1313650640699224069,"All Russia Hoax Scandal information was Declassified by me long ago. Unfortunately for our Country, people have acted very slowly, especially since it is perhaps the biggest political crime in the history of our Country. Act!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-07 01:21:33,93839,28677
8,1313647605134614529,New FDA Rules make it more difficult for them to speed up vaccines for approval before Election Day. Just another political hit job! @SteveFDA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SteveFDA', 'name': 'Dr. Stephen M. Hahn', 'id': 2904169317, 'id_str': '2904169317', 'indices': [133, 142]}], 'urls': []}",2020-10-07 01:09:30,57333,14968
9,1313645330789994499,Chris Wallace was a total JOKE. Protected Joe all night long. He’s no Mike!!! https://t.co/0mRHAVAUda,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0mRHAVAUda', 'expanded_url': 'https://twitter.com/paulsperry_/status/1313257094313848834', 'display_url': 'twitter.com/paulsperry_/st…', 'indices': [78, 101]}]}",2020-10-07 01:00:27,56007,13681
